"Country_Origin","n","MDR","XDR","cipIR","cipR","cefR","aziR","MDR_lower","MDR_upper","XDR_lower","XDR_upper","cipIR_lower","cipIR_upper","cipR_lower","cipR_upper","cefR_lower","cefR_upper","aziR_lower","aziR_upper"
"Bangladesh",1591,25,0,99,6,0,3,23,27,0,0,99,100,5,7,0,0,2,3
"Cambodia",221,76,0,96,0,0,0,70,81,0,0,94,99,0,0,0,0,0,0
"Chile",97,0,0,11,5,0,0,0,0,0,0,5,18,1,10,0,0,0,0
"Ghana",68,66,0,0,0,0,0,55,77,0,0,0,0,0,0,0,0,0,0
"India",2267,3,0,99,22,1,0,2,4,0,0,98,99,20,24,0,1,0,1
"Indonesia",65,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"Kenya",149,78,0,52,0,0,0,71,85,0,0,44,60,0,0,0,0,0,0
"Malawi",558,93,0,4,0,0,0,91,95,0,0,2,5,0,0,0,0,0,0
"Mexico",58,2,2,24,3,2,0,0,5,0,5,13,35,0,8,0,5,0,0
"Nepal",1275,3,0,86,10,0,0,2,4,0,0,84,88,9,12,0,0,0,0
"Nigeria",150,39,0,21,0,0,0,31,46,0,0,15,28,0,0,0,0,0,0
"Pakistan",1484,68,36,98,40,38,0,65,70,34,39,98,99,37,42,36,41,0,0
"Philippines",206,0,0,13,0,0,0,0,0,0,0,8,18,0,1,0,1,0,0
"Samoa",259,0,0,5,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0
"South Africa",285,61,0,20,4,0,0,56,67,0,0,16,25,1,6,0,0,0,0
